Liberal,Conservative,sentiment,Green,Libertarian,twitter_engagement,date,time
0.2100999504,0.2029446661,0.9272947311,0.3764938414,0.210461542,0.6580046245,03-19-2015,01:16:05
0.200593859,0.3469797373,0.6011756063,0.3168161809,0.1356102675,0.7210321758,03-19-2015,01:13:36
0.1801657528,0.2086140662,0.73887676,0.4075156152,0.2037045062,0.6877348167,03-19-2015,01:13:13
0.2592999041,0.2211394459,0.5872104168,0.2499311268,0.2696295679,0.6702270023,03-19-2015,01:12:25
0.1861498058,0.1948242188,0.5097783208,0.4303623736,0.1886635721,0.432078062,03-18-2015,19:51:33
0.1030844525,0.1081251726,0.5503139496,0.659314692,0.1294757277,0.4648967931,03-18-2015,19:50:30
0.1127311736,0.4098139703,0.4571659863,0.3710286319,0.106426321,0.587583608,03-18-2015,17:17:53
0.1030145511,0.08062502,0.7226000428,0.7334148884,0.0829454809,0.4641665972,03-18-2015,16:03:22
0.1034881771,0.050105013,0.1886468381,0.7314066887,0.1150000691,0.6859857211,03-18-2015,14:11:36
0.1415156424,0.1398759186,0.5680378079,0.3458975255,0.3727109432,0.6565549375,03-18-2015,14:11:17
0.2582496107,0.2035081089,0.8830304146,0.3072769642,0.2309653014,0.6159570498,03-18-2015,14:10:29
0.2056889385,0.2109952569,0.6708913445,0.3546078801,0.228707999,0.7524722298,03-18-2015,13:49:14
0.131878674,0.1230613217,0.7264631987,0.6450279355,0.1000321358,0.7067634995,03-18-2015,13:43:19
0.1855007112,0.2605597675,0.8508073688,0.2978183627,0.2561212182,0.6015277248,03-18-2015,11:07:18
0.2052096874,0.1763540804,0.9424243569,0.3726372123,0.2457989305,0.6190329357,03-18-2015,00:08:53
0.138176769,0.2616213262,0.9745326042,0.1814920604,0.4187097847,0.7062179994,03-18-2015,00:08:30
0.183187142,0.1983760893,0.5543055534,0.4040237367,0.2144131213,0.690975802,03-18-2015,00:08:09
0.2234949023,0.1995085627,0.5966265798,0.3352722824,0.2417242229,0.5220679232,03-17-2015,20:28:22
0.1902584732,0.347505182,0.952477932,0.192614466,0.2696219683,0.596825194,03-17-2015,20:25:41
0.3398213387,0.1990424693,0.9526905417,0.2711422443,0.1899939626,0.494607582,03-17-2015,20:20:07
0.2556192875,0.1893368512,0.7780826688,0.2918513119,0.2631925941,0.580395693,03-17-2015,20:13:58
0.2892788053,0.4095148146,0.9718352556,0.1224929392,0.1787134409,0.6043560876,03-17-2015,14:21:38
0.2164910585,0.157214582,0.9526551366,0.4990666807,0.1272277087,0.5957029136,03-17-2015,06:20:03
0.2034659833,0.2080242932,0.8507450819,0.286327213,0.3021825552,0.6675465928,03-17-2015,06:17:44
0.0828324854,0.0728004277,0.8219834566,0.7627062798,0.0816608965,0.6097130388,03-17-2015,06:15:38
0.1861188263,0.208699435,0.4829758406,0.3897691369,0.215412572,0.548911791,03-17-2015,06:12:49
